request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00000,1024x1024_25,1024,1024,25,700000,1776515342.9986758,,1776515372.01782,,200,True,29.01914728397969,
baseline-00001,512x512_20,512,512,20,700001,1776515343.0086627,,1776515363.1878319,,200,True,20.179170141927898,
baseline-00002,768x768_20,768,768,20,700002,1776515343.0090506,,1776515363.725552,,200,True,20.71650346496608,
baseline-00003,768x768_20,768,768,20,700003,1776515343.0093396,,1776515364.6442475,,200,True,21.634909570915624,
baseline-00004,1024x1024_25,1024,1024,25,700004,1776515343.009608,,1776515371.8254008,,200,True,28.81579598900862,
baseline-00005,1024x1024_25,1024,1024,25,700005,1776515343.0098753,,1776515371.8823886,,200,True,28.872516275034286,
baseline-00006,1536x1536_35,1536,1536,35,700006,1776515343.010152,,1776515455.4345262,,200,True,112.42437906202395,
baseline-00007,512x512_20,512,512,20,700007,1776515343.0104167,,1776515379.5063272,,200,True,36.495913011953235,
baseline-00008,1024x1024_25,1024,1024,25,700008,1776515343.0106764,,1776515388.021048,,200,True,45.0103751179995,
baseline-00009,512x512_20,512,512,20,700009,1776515343.0109556,,1776515381.1517496,,200,True,38.14079731795937,
baseline-00010,768x768_20,768,768,20,700010,1776515343.0112274,,1776515388.2806854,,200,True,45.2694610550534,
baseline-00011,1024x1024_25,1024,1024,25,700011,1776515343.01149,,1776515395.8374174,,200,True,52.82593174406793,
baseline-00012,512x512_20,512,512,20,700012,1776515343.0117686,,1776515470.1094885,,200,True,127.0977222659858,
baseline-00013,768x768_20,768,768,20,700013,1776515343.0120335,,1776515396.4319696,,200,True,53.41993949294556,
baseline-00014,1024x1024_25,1024,1024,25,700014,1776515343.0122967,,1776515412.5780382,,200,True,69.56574603100307,
baseline-00015,1024x1024_25,1024,1024,25,700015,1776515343.0125651,,1776515405.8291535,,200,True,62.81659243104514,
baseline-00016,768x768_20,768,768,20,700016,1776515343.0128334,,1776515404.8221135,,200,True,61.809283570968546,
baseline-00017,1024x1024_25,1024,1024,25,700017,1776515343.0133717,,1776515421.0153754,,200,True,78.00200783205219,
baseline-00018,1024x1024_25,1024,1024,25,700018,1776515343.0137055,,1776515494.6191921,,200,True,151.6054902910255,
baseline-00019,512x512_20,512,512,20,700019,1776515343.0139945,,1776515412.543297,,200,True,69.52930612093769,
baseline-00020,1024x1024_25,1024,1024,25,700020,1776515343.0142732,,1776515436.5331175,,200,True,93.51884731801692,
baseline-00021,1024x1024_25,1024,1024,25,700021,1776515343.0145469,,1776515430.1381173,,200,True,87.12357391708065,
baseline-00022,768x768_20,768,768,20,700022,1776515343.0148299,,1776515421.562243,,200,True,78.54741652891971,
baseline-00023,768x768_20,768,768,20,700023,1776515343.0151038,,1776515437.5413244,,200,True,94.52622414997313,
baseline-00024,1536x1536_35,1536,1536,35,700024,1776515343.0153794,,1776515578.3121185,,200,True,235.29674347001128,
baseline-00025,768x768_20,768,768,20,700025,1776515343.0156548,,1776515428.5645597,,200,True,85.54890849301592,
baseline-00026,512x512_20,512,512,20,700026,1776515343.0159278,,1776515452.5222178,,200,True,109.50629310403019,
baseline-00027,512x512_20,512,512,20,700027,1776515343.0162086,,1776515447.0039592,,200,True,103.98775355203543,
baseline-00028,1024x1024_25,1024,1024,25,700028,1776515343.0164893,,1776515446.1370382,,200,True,103.12055199209135,
baseline-00029,1024x1024_25,1024,1024,25,700029,1776515343.0167572,,1776515461.9766192,,200,True,118.95986493397504,
baseline-00030,1024x1024_25,1024,1024,25,700030,1776515343.017036,,1776515602.128158,,200,True,259.11112643999513,
baseline-00031,1024x1024_25,1024,1024,25,700031,1776515343.0173123,,1776515452.9755647,,200,True,109.95825681101996,
baseline-00032,1024x1024_25,1024,1024,25,700032,1776515343.0175977,,1776515477.0179205,,200,True,134.00032569898758,
baseline-00033,1536x1536_35,1536,1536,35,700033,1776515343.0178819,,1776515530.4363353,,200,True,187.41845592297614,
baseline-00034,768x768_20,768,768,20,700034,1776515343.0181582,,1776515462.4264884,,200,True,119.40833576396108,
baseline-00035,1024x1024_25,1024,1024,25,700035,1776515343.0184343,,1776515486.4080484,,200,True,143.38961843703873,
baseline-00036,1024x1024_25,1024,1024,25,700036,1776515343.0187147,,1776515626.4699874,,200,True,283.4512759610079,
baseline-00037,1024x1024_25,1024,1024,25,700037,1776515343.0190153,,1776515477.216371,,200,True,134.19735894992482,
baseline-00038,1536x1536_35,1536,1536,35,700038,1776515343.0192935,,1776515559.7816288,,200,True,216.76234089490026,
baseline-00039,1024x1024_25,1024,1024,25,700039,1776515343.0195742,,1776515553.836527,,200,True,210.81695676303934,
baseline-00040,1024x1024_25,1024,1024,25,700040,1776515343.0198598,,1776515486.8490958,,200,True,143.82923992804717,
baseline-00041,512x512_20,512,512,20,700041,1776515343.0201569,,1776515503.9897609,,200,True,160.9696073589148,
baseline-00042,768x768_20,768,768,20,700042,1776515343.0204518,,1776515642.5966878,,200,True,299.5762403270928,
baseline-00043,768x768_20,768,768,20,700043,1776515343.0207412,,1776515494.0922627,,200,True,151.07152479502838,
baseline-00044,512x512_20,512,512,20,700044,1776515343.0212343,,1776515574.3408241,,200,True,231.3195932059316,
baseline-00045,768x768_20,768,768,20,700045,1776515343.0215833,,1776515570.1089828,,200,True,227.08740281302016,
baseline-00046,512x512_20,512,512,20,700046,1776515343.0218892,,1776515502.1752741,,200,True,159.15338856203016,
