request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00000,1024x1024_25,1024,1024,25,700000,1776523537.9869404,1776523541.779753,1776523567.0788186,http://127.0.0.1:18291,200,True,29.091879455954768,
baseline-00001,512x512_20,512,512,20,700001,1776523537.9969614,1776523541.7799306,1776523560.9618363,http://127.0.0.1:18292,200,True,22.964877136982977,
baseline-00002,768x768_20,768,768,20,700002,1776523537.99735,1776523541.7801275,1776523649.2114131,http://127.0.0.1:18293,200,True,111.21406594605651,
baseline-00003,768x768_20,768,768,20,700003,1776523537.9976392,1776523541.7802517,1776523580.122305,http://127.0.0.1:18294,200,True,42.12466892902739,
baseline-00004,1024x1024_25,1024,1024,25,700004,1776523537.997907,1776523541.7804117,1776523567.0476332,http://127.0.0.1:18295,200,True,29.049728633021004,
baseline-00005,1024x1024_25,1024,1024,25,700005,1776523537.9981775,1776523541.7805905,1776523566.959147,http://127.0.0.1:18296,200,True,28.960973701090552,
baseline-00006,1536x1536_35,1536,1536,35,700006,1776523537.998452,1776523541.7806325,1776523890.7046566,http://127.0.0.1:18291,200,True,352.70620658202097,
baseline-00007,512x512_20,512,512,20,700007,1776523537.9987178,1776523541.7808175,1776523561.0130672,http://127.0.0.1:18292,200,True,23.014350741985254,
baseline-00008,1024x1024_25,1024,1024,25,700008,1776523537.9989998,1776523541.780848,1776523567.20653,http://127.0.0.1:18293,200,True,29.20753232599236,
baseline-00009,512x512_20,512,512,20,700009,1776523537.9992638,1776523541.781048,1776523621.391721,http://127.0.0.1:18294,200,True,83.39245893794578,
baseline-00010,768x768_20,768,768,20,700010,1776523537.9995313,1776523541.781078,1776523623.9642081,http://127.0.0.1:18295,200,True,85.96467823104467,
baseline-00011,1024x1024_25,1024,1024,25,700011,1776523537.9997957,1776523541.7811007,1776523608.9954858,http://127.0.0.1:18296,200,True,70.99569144891575,
baseline-00012,512x512_20,512,512,20,700012,1776523538.0000749,1776523541.7814422,1776523585.5319414,http://127.0.0.1:18291,200,True,47.53186946804635,
baseline-00013,768x768_20,768,768,20,700013,1776523538.0003452,1776523541.7814705,1776523623.2566175,http://127.0.0.1:18292,200,True,85.25627390900627,
baseline-00014,1024x1024_25,1024,1024,25,700014,1776523538.0006125,1776523541.7814958,1776523611.3880563,http://127.0.0.1:18293,200,True,73.38744555891026,
baseline-00015,1024x1024_25,1024,1024,25,700015,1776523538.000879,1776523541.7817733,1776523604.9276068,http://127.0.0.1:18294,200,True,66.92672893102281,
baseline-00016,768x768_20,768,768,20,700016,1776523538.0011492,1776523541.781805,1776523624.0402536,http://127.0.0.1:18295,200,True,86.03910573199391,
baseline-00017,1024x1024_25,1024,1024,25,700017,1776523538.001699,1776523541.781831,1776523700.704188,http://127.0.0.1:18296,200,True,162.7024904800346,
baseline-00018,1024x1024_25,1024,1024,25,700018,1776523538.0020332,1776523541.7821195,1776523610.1515977,http://127.0.0.1:18291,200,True,72.1495662330417,
baseline-00019,512x512_20,512,512,20,700019,1776523538.0023212,1776523541.7821457,1776523561.0126197,http://127.0.0.1:18292,200,True,23.010299875051714,
baseline-00020,1024x1024_25,1024,1024,25,700020,1776523538.0026033,1776523541.782167,1776523711.0226347,http://127.0.0.1:18293,200,True,173.02003321400844,
