req_idx,case_name,width,height,steps,num_frames,fps,ok,error,video_id,submit_ts,accepted_ts,completed_ts,create_api_s,e2e_s
0,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_e33be1d3542d49df9d38040f464104f8,1776414316.5681858,1776414316.6987116,1776414384.8132334,0.13052469992544502,68.2450475692749
1,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_7810498fdeae4e0cb7f8944693cf1ce8,1776414316.5686896,1776414316.698366,1776414530.263458,0.12967538507655263,213.6947684288025
2,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_7bba66704fc542738bdb202bcc9b10c9,1776414316.569005,1776414316.6969767,1776414678.4317148,0.12796990701463073,361.8627097606659
3,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_46c73db722d442559ec9ca5d94b0fc4d,1776414316.5692825,1776414316.6979887,1776414826.268046,0.12870507896877825,509.6987633705139
4,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_b6eeb927ecc14851a989335f85e9ccfe,1776414316.56957,1776414316.7035758,1776414975.9948158,0.13400540698785335,659.4252457618713
5,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_aa7d3c40ed3a433cb7fc79b1b74aa107,1776414316.5698485,1776414316.7071786,1776415123.293942,0.13732921401970088,806.7240934371948
6,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_00bf72daaef74e3384e8668ea265c3e0,1776414316.5701272,1776414316.71075,1776415271.4011545,0.1406223690137267,954.8310272693634
7,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_e3d253aed0074c44bdd4efbb78651671,1776414316.570413,1776414316.7141035,1776415335.6282587,0.14368966000620276,1019.0578455924988
8,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_38edcff1bfd74a78b80f7f8622a42506,1776414316.5706937,1776414316.7176116,1776415483.6381254,0.14691706490702927,1167.0674316883087
9,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_5c0f3b203d6940caae6e89af4ecf5c90,1776414316.5709865,1776414316.721087,1776415632.7791524,0.15009988797828555,1316.208165884018
10,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_b6ac34e41e8a43b9a55fef9903d92a92,1776414316.5712638,1776414316.7243297,1776415779.9576263,0.15306512697134167,1463.3863625526428
11,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_478ed3d16d744ed9bc33792151edfb09,1776414316.5715458,1776414316.7275422,1776415927.8447278,0.15599581599235535,1611.2731819152832
12,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_972e9709bb9048e288dd8511306aa886,1776414316.5718434,1776414316.7307024,1776416074.8155673,0.15885831404011697,1758.2437238693237
13,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_40568d5e065847948d496a6bd4a30135,1776414316.5721188,1776414316.7339573,1776416138.825842,0.16183782508596778,1822.2537231445312
