req_idx,case_name,width,height,steps,num_frames,fps,ok,error,video_id,submit_ts,accepted_ts,completed_ts,create_api_s,e2e_s
0,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_1afc509bc2c646469be0f06aea7e556f,1776447555.237195,1776447555.3230023,1776447689.951795,0.08580642903689295,134.71460008621216
1,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_8a341ffc430b4b1e9f33de79d3a2e093,1776447555.2376833,1776447555.3226223,1776447840.3965745,0.08493814407847822,285.1588912010193
2,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_7f960c0f685645c8a3b835c439b8d73f,1776447555.237998,1776447555.3179653,1776448091.1740453,0.07996594195719808,535.9360473155975
3,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_9a868640b25c44f4b3870ea826ab3346,1776447555.2382896,1776447555.3212323,1776448343.413621,0.08294191095046699,788.1753313541412
4,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_318a86cf249e422d8414bb697b84a4e6,1776447555.2386,1776447555.3236825,1776448594.1657126,0.08508187695406377,1038.9271125793457
5,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_bf73370923a14e6b981cbd4cefb3a357,1776447555.2389042,1776447555.3208914,1776448844.4254274,0.08198630600236356,1289.1865231990814
6,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_9679a90a7b2b44b38483f4ca62859723,1776447555.2392032,1776447555.3233461,1776449027.2873406,0.08414217201061547,1472.0481374263763
7,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_275027819917458782d17c9ff621c8a7,1776447555.2394893,1776447555.3205218,1776447623.2637222,0.08103165891952813,68.02423286437988
8,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_3990db93972b483391ab39d076c1996f,1776447555.2397811,1776447555.4152417,1776452909.444952,0.17545931204222143,5354.205170869827
9,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_02c3daadf8324d09a16e0f79e889f658,1776447555.2400603,1776447555.4320226,1776453061.095241,0.19196141802240163,5505.855180740356
10,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_1a1cbc3ce4834d51bc86b5d7de8012b4,1776447555.2403429,1776447555.431047,1776453212.7859733,0.19070349598769099,5657.545630455017
11,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_539fc764377e41e8bf3787d906406944,1776447555.240636,1776447555.4291723,1776449244.6790633,0.18853543989825994,1689.4384272098541
12,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_9e3dd34ba40348edb2d8ed58ec323aa9,1776447555.2409265,1776447555.4223652,1776449461.538502,0.1814380519790575,1906.2975754737854
13,case2_854x480_s4_f120_fps24,854,480,4,120,24,True,,video_gen_5b6a7b2d8f3c4a349c3fd8260a4f8dc3,1776447555.2412233,1776447555.3920937,1776447942.7246983,0.15086927299853414,387.4834749698639
14,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_3a105485a065472b8d45dcc5ff3cd232,1776447555.2415059,1776447555.416312,1776449679.9758136,0.17480544198770076,2124.7343077659607
15,case3_1280x720_s6_f80_fps16,1280,720,6,80,16,True,,video_gen_48c96185733d4291a1ecbbdebf854f14,1776447555.2417884,1776447555.4158385,1776449898.9096372,0.17404921900015324,2343.6678488254547
